a01	hh_type	j1	j1_01	j1_02a	j1_02b	j1_02c	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03p	j1_04	j1_4a_1	j1_4a_2	j1_4a_3	j1_5a	j1_5b	j1_5c	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06p	j1_07
791	3	1	2																				2																							1
792	3	1	2																				2																							1
793	3	1	2																				2																							1
794	3	2																																												
795	3	2																																												
796	3	1	2																				2																							2
797	3	2																																												
798	3	2																																												
799	3	2																																												
800	3	2																																												
801	3	2																																												
802	3	2																																												
803	3	1	2																				2																							1
804	3	2																																												
805.1	3	2																																												
805.2	3	2																																												
806	3	2																																												
807	3	2																																												
808	3	2																																												
809	3	2																																												
810	3	1	2																				2																							1
811	3	1	2																				2																							4
812	3	1	2																				2																							4
813	3	2																																												
814	3	1	2																				2																							1
815	3	2																																												
816	3	2																																												
817	3	2																																												
818	3	1	2																				2																							4
819	3	2																																												
820	3	2																																												
821	3	2																																												
